geoid,0,1,2
14000US34023006300,1.0,1.0,1.0
14000US34025811401,1.0,1.0,1.0
14000US34039038201,1.0,1.0,1.0
14000US34027044403,1.0,1.0,1.0
14000US34027040300,1.0,1.0,1.0
14000US34025800701,1.0,1.0,1.0
14000US34025803500,1.0,1.0,1.0
14000US36059415401,2.0,2.0,2.0
14000US34003023501,1.0,1.0,1.0
14000US34003054400,1.0,1.0,1.0
14000US36061004400,35.0,9.0,37.0
14000US36047000700,2.0,2.0,2.0
14000US36061016800,27.0,39.0,25.0
14000US36061004700,9.0,10.0,2.0
14000US34023007805,1.0,1.0,1.0
14000US34023000501,1.0,1.0,1.0
14000US36047101200,10.0,11.0,10.0
14000US36103158315,10.0,2.0,9.0
14000US34031264101,1.0,1.0,1.0
14000US36103190706,10.0,2.0,9.0
14000US36103190704,2.0,2.0,2.0
14000US36047012902,2.0,2.0,2.0
14000US34029723000,1.0,1.0,1.0
14000US34023002805,1.0,1.0,1.0
14000US34017004000,1.0,1.0,1.0
14000US36047030700,26.0,34.0,24.0
14000US36103169703,10.0,2.0,9.0
14000US34013019300,1.0,1.0,1.0
14000US36085002900,6.0,6.0,8.0
14000US36085011201,6.0,6.0,8.0
14000US34039032100,1.0,1.0,1.0
14000US34013002000,1.0,1.0,1.0
14000US34017007700,1.0,1.0,1.0
14000US34013019200,1.0,1.0,1.0
14000US34039032700,1.0,1.0,1.0
14000US34031181800,1.0,1.0,1.0
14000US34013008700,1.0,1.0,1.0
14000US34039030500,1.0,1.0,1.0
14000US36081117100,39.0,23.0,10.0
14000US36081016900,38.0,23.0,10.0
14000US36081108500,10.0,12.0,9.0
14000US36059405500,10.0,2.0,9.0
14000US36061013100,3.0,29.0,25.0
14000US36061007100,45.0,16.0,38.0
14000US36081006501,2.0,2.0,12.0
14000US34013012000,1.0,1.0,1.0
14000US34023006206,1.0,1.0,1.0
14000US34023000702,1.0,1.0,1.0
14000US34023002500,1.0,1.0,1.0
14000US36103147402,10.0,2.0,9.0
14000US36103123101,10.0,2.0,9.0
14000US36119009701,9.0,10.0,7.0
14000US34029717200,1.0,1.0,1.0
14000US34017013700,1.0,1.0,1.0
14000US34023005500,1.0,1.0,1.0
14000US36061024302,21.0,20.0,14.0
14000US34031180202,1.0,1.0,1.0
14000US36059408100,10.0,2.0,9.0
14000US36027140700,9.0,10.0,7.0
14000US36061005900,14.0,41.0,32.0
14000US34027045902,1.0,1.0,1.0
14000US36103159512,10.0,2.0,9.0
14000US36103190603,10.0,2.0,9.0
14000US36061017500,2.0,2.0,2.0
14000US36061003900,2.0,2.0,2.0
14000US34029723300,1.0,1.0,1.0
14000US34029722002,1.0,1.0,1.0
14000US36005045102,9.0,10.0,7.0
14000US36119001403,9.0,3.0,7.0
14000US34031181702,1.0,1.0,1.0
14000US36005022300,44.0,21.0,39.0
14000US36119001900,9.0,10.0,7.0
14000US36005039200,9.0,10.0,7.0
14000US36119011101,9.0,10.0,7.0
14000US34031124321,15.0,16.0,38.0
14000US34031124700,1.0,1.0,1.0
14000US36081133300,10.0,11.0,9.0
14000US36081077500,23.0,2.0,6.0
14000US36103158006,10.0,2.0,9.0
14000US36081006300,2.0,2.0,2.0
14000US36047013300,2.0,2.0,2.0
14000US34013022700,1.0,1.0,1.0
14000US36005033000,2.0,8.0,2.0
14000US36005037900,9.0,10.0,7.0
14000US34035052001,1.0,1.0,1.0
14000US36047003900,2.0,2.0,2.0
14000US36061013300,2.0,2.0,2.0
14000US36081006900,2.0,2.0,2.0
14000US36119008100,1.0,1.0,1.0
14000US34027041901,1.0,1.0,1.0
14000US34027041902,1.0,1.0,1.0
14000US36081113300,2.0,2.0,2.0
14000US42103950301,10.0,2.0,9.0
14000US42103950605,1.0,10.0,7.0
14000US34013016000,2.0,2.0,2.0
14000US36061003400,2.0,2.0,2.0
14000US36061008700,2.0,23.0,14.0
14000US34003005000,1.0,1.0,1.0
14000US34017014200,39.0,38.0,40.0
14000US36119005100,9.0,10.0,7.0
14000US36119013000,9.0,10.0,7.0
14000US36061011800,40.0,13.0,28.0
14000US36047115600,6.0,11.0,8.0
14000US36081041400,6.0,11.0,8.0
14000US36061025700,2.0,2.0,2.0
14000US36061011203,10.0,2.0,9.0
14000US36047056500,2.0,2.0,2.0
14000US36005024501,1.0,1.0,1.0
14000US36005028300,9.0,10.0,7.0
