geoid,0,1,2
14000US34017004200,4.0,3.0,14.0
14000US34039037500,4.0,3.0,4.0
14000US34039032901,4.0,3.0,4.0
14000US34031182600,4.0,3.0,4.0
14000US34003031100,4.0,3.0,4.0
14000US36081140901,3.0,4.0,3.0
14000US36061004000,29.0,35.0,16.0
14000US36059408800,3.0,4.0,3.0
14000US36059521601,3.0,4.0,3.0
14000US36071013800,1.0,1.0,1.0
14000US36087011102,1.0,1.0,1.0
14000US36005040900,1.0,1.0,1.0
14000US36061012600,1.0,1.0,1.0
14000US36047051400,27.0,15.0,32.0
14000US36081046500,27.0,23.0,2.0
14000US36061010400,1.0,4.0,1.0
14000US36087010804,1.0,1.0,1.0
14000US36047006200,1.0,21.0,3.0
14000US36005012300,32.0,1.0,1.0
14000US34027041604,4.0,3.0,4.0
14000US36005020501,8.0,1.0,1.0
14000US36047014200,2.0,2.0,2.0
14000US34003019104,4.0,3.0,4.0
14000US36103158505,3.0,4.0,3.0
14000US36103158104,3.0,4.0,3.0
14000US34003032202,4.0,3.0,4.0
14000US34003030300,4.0,3.0,4.0
14000US34003052100,4.0,3.0,4.0
14000US36071011500,1.0,1.0,1.0
14000US36071011000,1.0,1.0,1.0
14000US34023006207,4.0,3.0,4.0
14000US36059301700,3.0,4.0,3.0
14000US36081046900,19.0,20.0,24.0
14000US36081084900,3.0,23.0,3.0
14000US34013000500,4.0,22.0,4.0
14000US34013022700,4.0,22.0,26.0
14000US36103159407,3.0,4.0,3.0
14000US36103158409,3.0,4.0,3.0
14000US36047054800,29.0,35.0,16.0
14000US36059519602,3.0,4.0,3.0
14000US34017017100,4.0,3.0,4.0
14000US34031256805,4.0,3.0,4.0
14000US34003052200,4.0,3.0,4.0
14000US36047018100,1.0,28.0,6.0
14000US34035051500,4.0,3.0,4.0
14000US34035053604,4.0,3.0,4.0
14000US36103124200,3.0,4.0,3.0
14000US36103169704,3.0,4.0,3.0
14000US36103112206,3.0,4.0,3.0
14000US36061011000,32.0,15.0,18.0
14000US34029711400,4.0,3.0,4.0
14000US34023001902,4.0,3.0,4.0
14000US36103145803,3.0,4.0,3.0
14000US36103158304,3.0,4.0,3.0
14000US36047052500,5.0,5.0,12.0
14000US36119012503,1.0,1.0,1.0
14000US34003015200,4.0,3.0,4.0
14000US34003054200,4.0,3.0,4.0
14000US36071010400,1.0,1.0,1.0
14000US36071013202,1.0,1.0,1.0
14000US34035051800,4.0,3.0,4.0
14000US34039038400,4.0,3.0,4.0
14000US34023001002,4.0,3.0,4.0
14000US34023000501,4.0,3.0,4.0
14000US36081068000,3.0,4.0,3.0
14000US36061021600,25.0,31.0,31.0
14000US36061005600,2.0,31.0,3.0
14000US36081044601,3.0,4.0,3.0
14000US36027140300,1.0,1.0,1.0
14000US36027220201,1.0,1.0,1.0
14000US36047059100,20.0,10.0,7.0
14000US34013013900,4.0,3.0,4.0
14000US34023006002,4.0,3.0,4.0
14000US34013017301,4.0,3.0,4.0
14000US36061000900,2.0,2.0,2.0
14000US34013001600,4.0,22.0,26.0
14000US36047043100,35.0,31.0,7.0
14000US36103158900,3.0,4.0,3.0
14000US36103159204,3.0,4.0,3.0
14000US34003021500,4.0,3.0,4.0
14000US36119000101,1.0,1.0,1.0
14000US36119000803,1.0,1.0,1.0
14000US36103123702,3.0,4.0,3.0
14000US36059414301,3.0,4.0,3.0
14000US34039034900,4.0,3.0,4.0
14000US34039034800,4.0,3.0,4.0
14000US34013006800,4.0,3.0,26.0
14000US36047055400,1.0,2.0,2.0
14000US36061013300,8.0,25.0,30.0
14000US34029722900,4.0,3.0,4.0
14000US36061009200,1.0,1.0,1.0
14000US36005006300,1.0,25.0,1.0
14000US36005036700,12.0,29.0,17.0
14000US36005009000,1.0,1.0,1.0
14000US34003035100,4.0,3.0,4.0
14000US34003032104,4.0,3.0,4.0
14000US36047112400,1.0,25.0,2.0
14000US34025801800,4.0,3.0,4.0
14000US34025801900,4.0,3.0,4.0
14000US36059405301,3.0,4.0,3.0
14000US34039035800,4.0,3.0,4.0
14000US36047004900,22.0,30.0,7.0
14000US36061006100,31.0,11.0,38.0
14000US36085027702,2.0,2.0,2.0
14000US34013007300,4.0,3.0,4.0
14000US36081006502,7.0,36.0,31.0
14000US36047042500,12.0,17.0,9.0
14000US34027043800,4.0,3.0,4.0
14000US34023003102,4.0,3.0,4.0
14000US34023007102,4.0,3.0,4.0
14000US36081050201,34.0,1.0,9.0
14000US34029734002,4.0,3.0,4.0
14000US34027041704,4.0,3.0,4.0
14000US34031246002,4.0,3.0,4.0
14000US36119010100,1.0,1.0,1.0
14000US34003054400,4.0,3.0,4.0
14000US36047011900,20.0,21.0,21.0
14000US34003003401,4.0,3.0,4.0
14000US36081009500,3.0,8.0,1.0
14000US36103158111,3.0,4.0,3.0
14000US34013017200,10.0,22.0,26.0
14000US34013017100,4.0,22.0,26.0
14000US34003012002,16.0,3.0,4.0
14000US34003038300,36.0,3.0,4.0
14000US36027140400,1.0,1.0,1.0
14000US34031181800,4.0,3.0,4.0
14000US34031124900,4.0,3.0,4.0
14000US36119002201,1.0,1.0,1.0
14000US36119000802,1.0,1.0,1.0
14000US36047051700,11.0,37.0,19.0
14000US34003019303,4.0,3.0,4.0
14000US36081062100,3.0,4.0,3.0
14000US36059405600,3.0,4.0,3.0
14000US36047055100,18.0,5.0,24.0
14000US36059416801,3.0,4.0,3.0
14000US36059412200,3.0,4.0,3.0
14000US34031124311,4.0,3.0,4.0
14000US34003051300,4.0,3.0,4.0
14000US36103135003,3.0,4.0,3.0
14000US36085020803,2.0,2.0,2.0
14000US34003056100,4.0,3.0,4.0
14000US36079011000,1.0,1.0,1.0
14000US36005039700,1.0,4.0,3.0
14000US36059405400,3.0,4.0,3.0
14000US36087012105,10.0,1.0,7.0
14000US36061026900,8.0,34.0,31.0
14000US36085017600,2.0,2.0,2.0
14000US36005019700,1.0,4.0,1.0
14000US34035052601,4.0,3.0,4.0
14000US34025812100,4.0,3.0,4.0
14000US36061012000,1.0,1.0,3.0
14000US36081124700,3.0,1.0,3.0
14000US34029715902,4.0,3.0,4.0
14000US34035053404,4.0,3.0,4.0
14000US34035053103,4.0,3.0,4.0
14000US36061006700,1.0,32.0,34.0
14000US36119008404,1.0,1.0,1.0
14000US34017016400,4.0,3.0,4.0
14000US34003031300,4.0,3.0,4.0
14000US34027042700,4.0,3.0,4.0
14000US34023007103,4.0,3.0,4.0
14000US34023007202,4.0,3.0,4.0
14000US34035050801,4.0,3.0,4.0
14000US34035050902,4.0,3.0,4.0
14000US36047003700,1.0,25.0,1.0
14000US36047028200,2.0,2.0,2.0
14000US36047040100,40.0,2.0,2.0
14000US36047051500,9.0,10.0,12.0
14000US36047009400,19.0,21.0,8.0
14000US36061007000,26.0,19.0,34.0
14000US36061018600,41.0,16.0,31.0
14000US34003057101,4.0,3.0,4.0
14000US36061022000,28.0,2.0,32.0
14000US34017000400,4.0,3.0,4.0
14000US34023006800,4.0,3.0,4.0
14000US36047117601,40.0,16.0,2.0
14000US36081081800,1.0,4.0,3.0
14000US36047026500,42.0,23.0,34.0
14000US36047057500,12.0,29.0,33.0
14000US36047014500,1.0,32.0,11.0
14000US34013019300,4.0,3.0,4.0
14000US36103112210,3.0,4.0,3.0
14000US36119014804,1.0,1.0,1.0
14000US36081015802,3.0,4.0,3.0
14000US36047016100,35.0,31.0,3.0
14000US36047115200,28.0,36.0,23.0
